label,offered_qps,run,idx,status,wall_s,queue_time_s,ttft_s,total_time_s,output_tps,prompt_tokens,cached_prompt_tokens,generated_tokens,preemptions
simple-baseline,3.0,0,19,200,0.4091921669896692,0.07719,0.13458,0.40407,115.03128,63,0,32,0
simple-baseline,3.0,0,20,200,0.6053236671723425,0.24648,0.3221,0.59655,112.95323,65,0,32,0
simple-baseline,3.0,0,21,200,0.538722125114873,0.25513,0.30861,0.53387,137.61593,63,0,32,0
simple-baseline,3.0,0,22,200,0.7855840830598027,0.49067,0.56194,0.78173,141.04445,65,0,32,0
simple-baseline,3.0,0,23,200,0.9789799579884857,0.58098,0.65227,0.96082,100.46944,66,0,32,0
simple-baseline,3.0,0,24,200,0.9288801250513643,0.645,0.69818,0.92701,135.47451,64,0,32,0
simple-baseline,3.0,0,25,200,1.2375318750273436,0.89086,0.96196,1.23531,113.40727,65,0,32,0
simple-baseline,3.0,0,26,200,1.5297629579436034,1.19609,1.25027,1.52603,112.41705,62,0,32,0
simple-baseline,3.0,0,27,200,1.2457221248187125,0.91807,0.97172,1.2416,114.8656,62,0,32,0
simple-baseline,3.0,0,28,200,0.7593975830823183,0.48027,0.53413,0.75628,139.54593,64,0,32,0
simple-baseline,3.0,0,29,200,0.9238117078784853,0.56421,0.63576,0.91834,109.70409,65,0,32,0
simple-baseline,3.0,0,30,200,1.161832582904026,0.82156,0.87471,1.15858,109.20517,63,0,32,0
simple-baseline,3.0,0,31,200,1.0806671660393476,0.80321,0.85772,1.07896,140.12107,63,0,32,0
simple-baseline,3.0,0,32,200,0.6624785838648677,0.36602,0.43749,0.6602,139.20056,65,0,32,0
simple-baseline,3.0,0,33,200,0.7974610419478267,0.5202,0.57413,0.7956,139.97163,63,0,32,0
simple-baseline,3.0,0,34,200,0.8917936249636114,0.5965,0.668,0.88973,139.80913,65,0,32,0
simple-baseline,3.0,0,35,200,0.3469864169601351,0.0005,0.07636,0.34278,116.35992,66,0,32,0
simple-baseline,3.0,0,36,200,0.5805122498422861,0.19719,0.25024,0.57487,95.4935,64,0,32,0
simple-baseline,3.0,0,37,200,0.5546653340570629,0.2503,0.32859,0.5504,139.76101,65,0,32,0
simple-baseline,3.0,0,38,200,0.382922749966383,0.00137,0.05534,0.37416,97.23207,62,0,32,0
simple-baseline,3.0,0,39,200,0.6171626660507172,0.27033,0.32827,0.61027,109.9276,62,0,32,0
simple-baseline,3.0,0,40,200,0.595026166876778,0.25076,0.30425,0.58895,108.88385,64,0,32,0
simple-baseline,3.0,0,41,200,0.833529207855463,0.4404,0.5108,0.82969,97.21133,65,0,32,0
simple-baseline,3.0,0,42,200,0.5158157078549266,0.23296,0.28696,0.50849,139.93593,63,0,32,0
simple-baseline,3.0,0,43,200,0.5768231668043882,0.22444,0.27837,0.57187,105.61963,63,0,32,0
simple-baseline,3.0,0,44,200,0.8840728749055415,0.46479,0.53527,0.88085,89.70599,65,0,32,0
simple-baseline,3.0,0,45,200,0.38695716694928706,0.0009,0.06077,0.38076,96.87622,63,0,32,0
simple-baseline,3.0,0,46,200,0.4025671670679003,0.00431,0.08066,0.39615,98.25993,65,0,32,0
simple-baseline,3.0,1,0,200,0.358284667134285,0.00075,0.05128,0.34849,104.304,63,0,32,0
simple-baseline,3.0,1,1,200,0.7357195829972625,0.32305,0.37439,0.73137,86.83885,64,0,32,0
simple-baseline,3.0,1,2,200,0.89657620806247,0.56538,0.63112,0.89192,118.86626,61,0,32,0
simple-baseline,3.0,1,3,200,1.2317921249195933,0.861,0.92592,1.22365,104.11862,61,0,32,0
simple-baseline,3.0,1,4,200,1.0238890000618994,0.70423,0.75854,1.02,118.56485,63,0,32,0
simple-baseline,3.0,1,5,200,1.0960277090780437,0.77646,0.83004,1.09306,117.8626,64,0,32,0
simple-baseline,3.0,1,6,200,1.3738546669483185,1.01504,1.06938,1.3666,104.29854,62,0,32,0
simple-baseline,3.0,1,7,200,1.5272073328960687,1.2241,1.27627,1.52467,124.80133,62,0,32,0
simple-baseline,3.0,1,8,200,1.6383037909399718,1.35151,1.40538,1.62624,140.36073,64,0,32,0
simple-baseline,3.0,1,9,200,1.8823263749945909,1.59649,1.65032,1.87649,137.06317,62,0,32,0
simple-baseline,3.0,1,10,200,1.6984686248470098,1.40248,1.47432,1.69518,140.3624,65,0,32,0
simple-baseline,3.0,1,11,200,1.8628411660902202,1.5604,1.63181,1.85955,136.12113,66,0,32,0
simple-baseline,3.0,1,12,200,1.692120375111699,1.32558,1.38354,1.68663,102.27807,64,0,32,0
simple-baseline,3.0,1,13,200,2.0107726249843836,1.62493,1.69622,2.00812,99.39179,65,0,32,0
simple-baseline,3.0,1,14,200,1.6019130840431899,1.32636,1.38031,1.59978,141.2531,62,0,32,0
simple-baseline,3.0,1,15,200,1.7763545420020819,1.49815,1.5548,1.77439,141.16825,62,0,32,0
simple-baseline,3.0,1,16,200,1.8713355001527816,1.59477,1.64817,1.86932,140.1814,64,0,32,0
simple-baseline,3.0,1,17,200,1.8511786670424044,1.55658,1.62798,1.84821,140.76281,65,0,32,0
simple-baseline,3.0,1,18,200,1.5691982919815928,1.28903,1.34293,1.5626,141.12431,63,0,32,0
simple-baseline,3.0,1,19,200,1.751119334017858,1.46968,1.52367,1.74554,139.71726,63,0,32,0
simple-baseline,3.0,1,20,200,1.9644265410024673,1.66845,1.74002,1.95912,141.48538,65,0,32,0
